"","word","sentiment","n"
"714","glitches","negative",2
"715","goodness","positive",2
"716","gracious","positive",2
"717","grievance","negative",2
"718","grouchy","negative",2
"719","guidance","positive",2
"720","hacks","negative",2
"721","hail","positive",2
"722","handy","positive",2
"723","havoc","negative",2
"724","helpless","negative",2
"725","honesty","positive",2
"726","horrific","negative",2
"727","humiliating","negative",2
"728","humour","positive",2
"729","ideal","positive",2
"730","ignorant","negative",2
"731","impending","negative",2
"732","impress","positive",2
"733","inconsiderate","negative",2
"734","inconsistent","negative",2
"735","inefficiency","negative",2
"736","inexperienced","negative",2
"737","insanity","negative",2
"738","intelligent","positive",2
"739","jam","negative",2
"740","jealous","negative",2
"741","jerk","negative",2
"742","junk","negative",2
"743","killed","negative",2
"744","lacked","negative",2
"745","lag","negative",2
"746","leads","positive",2
"747","led","positive",2
"748","liable","negative",2
"749","liars","negative",2
"750","likes","positive",2
"751","losers","negative",2
"752","loud","negative",2
"753","luxurious","positive",2
"754","maddening","negative",2
"755","masters","positive",2
"756","meaningful","positive",2
"757","miserably","negative",2
"758","misfortune","negative",2
"759","misses","negative",2
"760","negative","negative",2
"761","neglected","negative",2
"762","obnoxious","negative",2
"763","obscene","negative",2
"764","offensive","negative",2
"765","overpriced","negative",2
"766","overwhelmed","negative",2
"767","overwhelming","negative",2
"768","painfully","negative",2
"769","panic","negative",2
"770","passion","positive",2
"771","passive","negative",2
"772","perfectly","positive",2
"773","personalized","positive",2
"774","phenomenal","positive",2
"775","pig","negative",2
"776","pity","negative",2
"777","plot","negative",2
"778","preferably","positive",2
"779","prize","positive",2
"780","pure","positive",2
"781","rage","negative",2
"782","raving","negative",2
"783","realistic","positive",2
"784","redemption","positive",2
"785","refreshing","positive",2
"786","remedy","positive",2
"787","remorse","negative",2
"788","rockstar","positive",2
"789","rollercoaster","negative",2
"790","rubbish","negative",2
"791","ruin","negative",2
"792","ruins","negative",2
"793","rumors","negative",2
"794","sass","negative",2
"795","satisfactory","positive",2
"796","satisfied","positive",2
"797","savings","positive",2
"798","seriousness","negative",2
"799","sexy","positive",2
"800","shoddy","negative",2
"801","shortage","negative",2
"802","shortcomings","negative",2
"803","shrug","negative",2
"804","skilled","positive",2
"805","slower","negative",2
"806","slowest","negative",2
"807","slowly","negative",2
"808","smart","positive",2
"809","smells","negative",2
"810","smoothest","positive",2
"811","snags","negative",2
"812","sneaky","negative",2
"813","solid","positive",2
"814","spite","negative",2
"815","spotty","negative",2
"816","stranger","negative",2
"817","stunned","positive",2
"818","sue","negative",2
"819","suffering","negative",2
"820","supporting","positive",2
"821","swamped","negative",2
"822","sweetheart","positive",2
"823","threatening","negative",2
"824","thrilled","positive",2
"825","torture","negative",2
"826","trick","negative",2
"827","troubling","negative",2
"828","unbelievably","negative",2
"829","unlikely","negative",2
"830","unsafe","negative",2
"831","unspecified","negative",2
"832","unsure","negative",2
"833","upsetting","negative",2
"834","violation","negative",2
"835","warmer","positive",2
"836","weary","negative",2
"837","winner","positive",2
"838","wins","positive",2
"839","worthy","positive",2
"840","abounds","positive",1
"841","absurdity","negative",1
"842","absurdly","negative",1
"843","abundance","positive",1
"844","abuse","negative",1
"845","accessible","positive",1
"846","accomplish","positive",1
"847","accurately","positive",1
"848","aggravation","negative",1
"849","alarm","negative",1
"850","amaze","positive",1
"851","ambivalence","negative",1
"852","amenity","positive",1
"853","anarchy","negative",1
"854","apathetic","negative",1
"855","apathy","negative",1
"856","appealing","positive",1
"857","applaud","positive",1
"858","approval","positive",1
"859","archaic","negative",1
"860","assurance","positive",1
"861","assurances","positive",1
"862","assuring","positive",1
"863","astounded","positive",1
"864","attentive","positive",1
"865","authoritative","positive",1
"866","aweful","negative",1
"867","awfully","negative",1
"868","awfulness","negative",1
"869","bashing","negative",1
"870","bastards","negative",1
"871","begging","negative",1
"872","belabor","negative",1
"873","believable","positive",1
"874","belligerent","negative",1
"875","beloved","positive",1
"876","bitchy","negative",1
"877","blatantly","negative",1
"878","bleed","negative",1
"879","blind","negative",1
"880","bliss","positive",1
"881","bloated","negative",1
"882","blow","negative",1
"883","boost","positive",1
"884","bored","negative",1
"885","boundless","positive",1
"886","brave","positive",1
"887","breakup","negative",1
"888","brighter","positive",1
"889","brisk","positive",1
"890","bugging","negative",1
"891","buggy","negative",1
"892","bully","negative",1
"893","bullying","negative",1
"894","burden","negative",1
"895","burned","negative",1
"896","calamity","negative",1
"897","calming","positive",1
"898","capability","positive",1
"899","careless","negative",1
"900","cave","negative",1
"901","celebration","positive",1
"902","cheapest","positive",1
"903","cheat","negative",1
"904","chilly","negative",1
"905","choppy","negative",1
"906","classic","positive",1
"907","cleanliness","positive",1
"908","clog","negative",1
"909","clunky","negative",1
"910","coldly","negative",1
"911","combative","negative",1
"912","comforting","positive",1
"913","commend","positive",1
"914","compact","positive",1
"915","compassionate","positive",1
"916","complex","negative",1
"917","condescension","negative",1
"918","conflict","negative",1
"919","confrontational","negative",1
"920","confuses","negative",1
"921","congested","negative",1
"922","congratulation","positive",1
"923","considerate","positive",1
"924","constructive","positive",1
"925","contagious","negative",1
"926","contempt","negative",1
"927","contend","negative",1
"928","contradictory","negative",1
"929","contribution","positive",1
"930","convenience","positive",1
"931","corrupt","negative",1
"932","cowardly","negative",1
"933","cozy","positive",1
"934","crabby","negative",1
"935","criticism","negative",1
"936","crook","negative",1
"937","crooked","negative",1
"938","curse","negative",1
"939","curt","negative",1
"940","cushy","positive",1
"941","cussed","negative",1
"942","damper","negative",1
"943","dangerous","negative",1
"944","deceiving","negative",1
"945","deceptive","negative",1
"946","defective","negative",1
"947","defiantly","negative",1
"948","deficiency","negative",1
"949","delightful","positive",1
"950","delinquent","negative",1
"951","demolish","negative",1
"952","dented","negative",1
"953","dependable","positive",1
"954","depressing","negative",1
"955","depression","negative",1
"956","desirable","positive",1
"957","desperate","negative",1
"958","despise","negative",1
"959","destroy","negative",1
"960","deter","negative",1
"961","deteriorating","negative",1
"962","devastated","negative",1
"963","dies","negative",1
"964","dignity","positive",1
"965","dilemma","negative",1
"966","diligent","positive",1
"967","dim","negative",1
"968","dirt","negative",1
"969","disappointments","negative",1
"970","disastrous","negative",1
"971","disbelief","negative",1
"972","discomfort","negative",1
"973","discouraging","negative",1
"974","discourteous","negative",1
"975","disheartening","negative",1
"976","dishonest","negative",1
"977","disloyal","negative",1
"978","displaced","negative",1
"979","displeasure","negative",1
"980","disproportionate","negative",1
"981","disputed","negative",1
"982","disrespectfully","negative",1
"983","disruption","negative",1
"984","distress","negative",1
"985","distressed","negative",1
"986","disturb","negative",1
"987","doom","negative",1
"988","dope","negative",1
"989","drag","negative",1
"990","drain","negative",1
"991","dread","negative",1
"992","dreadful","negative",1
"993","dump","negative",1
"994","dumping","negative",1
"995","dumps","negative",1
"996","dungeon","negative",1
"997","dust","negative",1
"998","eager","positive",1
"999","ease","positive",1
"1000","effective","positive",1
"1001","efficiently","positive",1
"1002","effortless","positive",1
